no_months,age,gender,income,no_months_ctr,no_months_ctr_end,phones,age_head_hh,edu_head_hh,income_head_hh,house_type,work_situation,no_calls,no_minutes,no_msgs,no_calls6,no_minutes6,no_msgs6,servcon,acq_costs,switch
38,42,M,173.86,26,-2.000,5,3,2,2,4,1,0,0.00,0,312,671.78,102,0,400.00,1
38,42,V,126.08,26,-2.000,4,4,2,3,4,1,0,0.00,0,101,94.95,2,0,400.00,1
36,28,V,-10.01,24,-12.000,3,2,3,3,4,1,0,0.00,0,28,37.20,48,0,400.00,1
153,69,M,27.96,24,-12.000,3,6,1,5,1,3,1,1.12,0,55,58.98,44,0,400.00,1
24,23,V,273.15,12,10.000,3,3,2,1,2,1,0,0.00,0,24,19.82,5,0,400.00,1
35,,,9.38,23,-11.000,2,3,2,4,1,1,0,0.00,0,21,17.25,1,0,400.00,1
34,43,V,186.54,22,1.000,1,3,2,1,4,2,0,0.00,0,197,228.22,29,0,400.00,1
33,,,11.70,21,-9.000,5,5,1,5,1,1,0,0.00,0,27,52.10,15,0,400.00,1
33,48,V,2.70,21,-9.000,6,4,3,5,2,1,0,0.00,0,91,91.33,22,0,400.00,1
33,53,M,-35.31,21,-9.000,5,4,1,3,3,1,0,0.00,0,134,274.80,25,0,400.00,1
33,,,26.73,21,-9.000,5,0,0,0,0,0,0,0.00,0,71,94.38,6,0,400.00,1
92,,,6.17,21,2.000,2,0,0,0,0,0,0,0.00,0,82,163.32,9,0,400.00,1
32,29,V,310.19,20,3.000,2,3,3,5,5,1,0,0.00,0,17,78.78,3,0,400.00,1
32,34,M,37.50,20,-8.000,7,2,1,2,3,1,0,0.00,0,195,246.53,2,0,400.00,1
27,21,M,468.42,15,8.000,1,3,2,4,4,1,0,0.00,0,11,47.60,1,0,400.00,1
30,48,V,655.55,18,6.000,1,4,1,1,4,1,0,0.00,0,103,195.43,15,0,400.00,1
52,44,V,3.47,16,7.000,4,5,3,5,4,1,0,0.00,2,109,106.00,64,0,400.00,1
28,23,V,279.26,16,7.000,1,2,2,1,5,1,0,0.00,0,82,100.77,96,0,400.00,1
28,24,V,1102.50,16,-4.000,4,1,3,1,5,4,0,0.00,0,622,1099.63,31,0,400.00,1
28,49,V,448.08,16,8.000,4,6,2,3,4,3,0,0.00,0,99,175.55,59,0,400.00,1
27,42,M,1738.20,15,8.000,2,4,1,5,1,1,0,0.00,0,174,328.38,138,0,400.00,1
27,41,V,389.60,15,8.000,2,3,2,1,3,1,0,0.00,0,103,153.50,33,0,400.00,1
26,29,M,820.79,14,9.000,1,2,3,2,5,1,0,0.00,0,201,120.67,87,0,400.00,1
24,27,V,496.89,12,11.000,1,6,1,1,3,3,0,0.00,0,134,137.20,130,0,400.00,1
24,49,V,169.48,12,0.000,1,1,2,2,5,4,0,0.00,0,195,585.98,68,0,400.00,1
24,53,V,279.89,12,11.000,1,5,2,2,5,2,0,0.00,0,89,73.52,5,0,400.00,1
24,27,M,283.58,12,11.000,3,,,,,,0,0.00,0,452,773.35,46,0,400.00,1
23,45,V,288.27,11,12.000,0,0,0,0,0,0,0,0.00,0,0,0.00,1,0,400.00,1
146,,,228.91,16,7.000,4,3,2,1,4,2,376,880.05,141,403,875.68,69,1,400.00,0
143,38,M,89.81,9,3.000,4,3,3,5,5,1,246,263.62,11,221,221.12,11,0,400.00,0
143,77,M,30.17,30,-6.000,1,6,2,4,5,3,100,111.42,1,136,196.12,2,0,400.00,0
